|Donald Trump|,|positive|,|RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co_Ñ_|
|Donald Trump|,|negative|,|@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate|
|Donald Trump|,|negative|,|RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t._Ñ_|
|Donald Trump|,|negative|,|RT @Chic4USA: Aaaand #megynfail brings in DNC chair to take down Trump thru women's rights. My gender once again used as fear tool. Ugh #GO_Ñ_|
|Donald Trump|,|negative|,|RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates _ª___ª_ô|
|Donald Trump|,|negative|,|RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. _ª___ª_ô #GOPDebate_Ñ_|
|John Kasich|,|negative|,"|RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates|"
|Donald Trump|,|negative|,"|RT @ProfessorRobo: To start th evening, RNC moderators dropped Atom Bomb on #Trump  ...Trump kicked it thru th uprights #GOPDebate #GOPDeba_Ñ_|"
|John Kasich|,|negative|,"|RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates|"
|Donald Trump|,|negative|,|RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. #GOPDebate #GOPDeb_Ñ_|
|John Kasich|,|negative|,"|RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates|"
|Donald Trump|,|negative|,|RT @msgoddessrises: FTW Ron. You nailed it he came close to telling Megyn to shut up. #Trump #GOPDebates  https://t.co/2U15vmQLUD|
|Donald Trump|,|negative|,"|To start th evening, RNC moderators dropped Atom Bomb on #Trump  ...Trump kicked it thru th uprights #GOPDebate #GOPDebates @washingtonpost|"
|Donald Trump|,|negative|,"|To start th evening, RNC moderators dropped Atom Bomb on #Trump  ...Trump kicked it thru th uprights #GOPDebate #GOPDebates @KarenMonsour12|"
|Donald Trump|,|negative|,"|So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates|"
|Donald Trump|,|negative|,|RT @GizmoOlder: @nytimes #Trump2016 spoke more but said less in #GOPDebates|
