|Donald Trump|,|positive|,|RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co_—_|
|Ted Cruz|,|positive|,"|RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews|"
|Donald Trump|,|negative|,|@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate|
|Donald Trump|,|negative|,|RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t._—_|
|Donald Trump|,|negative|,|RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx|
|Ted Cruz|,|positive|,"|RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate|"
|Donald Trump|,|negative|,|RT @mchamric: RT _—“@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr_—ù|
|Marco Rubio|,|negative|,"|#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.|"
|Donald Trump|,|negative|,|RT @mch7576: RT _—“@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu_—ù_—ù|
|Ted Cruz|,|negative|,|RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to _—_|
|Donald Trump|,|negative|,|RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate|
|Donald Trump|,|negative|,"|Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate|"
|Donald Trump|,|positive|,|_—“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks|
|Donald Trump|,|negative|,|@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate|
|Ted Cruz|,|positive|,"|RT @KarrattiPaul: Join ISIS and sign your death warrant, Signed @tedcruz next President of the US„_–_  #GOPDebate #WakeUpAmerica #CruzCrew htt_—_|"
|Donald Trump|,|positive|,"|RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.  After, only 3 saw him positively.  http://_—_|"
|Donald Trump|,|positive|,|RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.  And they vote.   That should scare eve_—_|
|Donald Trump|,|negative|,"|RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:_—_|"
|Donald Trump|,|negative|,"|Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7|"
|Donald Trump|,|negative|,"|The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate|"
|Donald Trump|,|negative|,"|RT @SnarkyDemo: #DonaldTrump said he_—Ès not _—“politically correct._—ù  Which, of course, is Trumpspeak for _—“Let_—Ès face it, I_—Èm huge asshole._—ù #_—_|"
|Ted Cruz|,|positive|,"|RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba_—_|"
|Donald Trump|,|negative|,|RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t_—_|
|Donald Trump|,|negative|,|RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj|
|Marco Rubio|,|negative|,|RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht_—_|
|Donald Trump|,|negative|,"|RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai_—_|"
